date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:19	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:17:00%20GMT	http://demo.epic-webdesign.com/robots.txt		(from )
13:28:20	56584/56584	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Dec%202018%2020:58:46%20GMT	http://demo.epic-webdesign.com/tf-howdy/v4/	C:/My%20Web%20Sites/theme2/demo.epic-webdesign.com/tf-howdy/v4/index.html	(from )
13:28:21	159516/159516	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Dec%202018%2021:01:01%20GMT	http://demo.epic-webdesign.com/tf-howdy/v4/css/bootstrap.css	C:/My%20Web%20Sites/theme2/demo.epic-webdesign.com/tf-howdy/v4/css/bootstrap.css	(from http://demo.epic-webdesign.com/tf-howdy/v4/)
13:28:23	47229/47229	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Dec%202018%2021:01:04%20GMT	http://demo.epic-webdesign.com/tf-howdy/v4/css/style.css	C:/My%20Web%20Sites/theme2/demo.epic-webdesign.com/tf-howdy/v4/css/style.css	(from http://demo.epic-webdesign.com/tf-howdy/v4/)
13:28:23	8534/8534	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Dec%202018%2021:01:03%20GMT	http://demo.epic-webdesign.com/tf-howdy/v4/css/style-magnific-popup.css	C:/My%20Web%20Sites/theme2/demo.epic-webdesign.com/tf-howdy/v4/css/style-magnific-popup.css	(from http://demo.epic-webdesign.com/tf-howdy/v4/)
13:28:24	11006/11006	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Dec%202018%2021:01:03%20GMT	http://demo.epic-webdesign.com/tf-howdy/v4/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/theme2/demo.epic-webdesign.com/tf-howdy/v4/css/pe-icon-7-stroke.css	(from http://demo.epic-webdesign.com/tf-howdy/v4/)
13:28:24	4120/4120	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Dec%202018%2021:01:02%20GMT	http://demo.epic-webdesign.com/tf-howdy/v4/css/helper.css	C:/My%20Web%20Sites/theme2/demo.epic-webdesign.com/tf-howdy/v4/css/helper.css	(from http://demo.epic-webdesign.com/tf-howdy/v4/)
13:28:24	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/theme2/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://demo.epic-webdesign.com/tf-howdy/v4/)
13:28:25	3021/3021	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Dec%202018%2021:01:02%20GMT	http://demo.epic-webdesign.com/tf-howdy/v4/css/owl.carousel.min.css	C:/My%20Web%20Sites/theme2/demo.epic-webdesign.com/tf-howdy/v4/css/owl.carousel.min.css	(from http://demo.epic-webdesign.com/tf-howdy/v4/)
13:28:26	1037/1037	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Dec%202018%2021:01:02%20GMT	http://demo.epic-webdesign.com/tf-howdy/v4/css/owl.theme.default.min.css	C:/My%20Web%20Sites/theme2/demo.epic-webdesign.com/tf-howdy/v4/css/owl.theme.default.min.css	(from http://demo.epic-webdesign.com/tf-howdy/v4/)
